reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,9,1,64,3,101.33037710000644,,101.31785680001485,101.33037710000644,102.33072540001012,102.33072540001012,102.33072540001012,102.96739800000796,t,0.6325453000026755,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,9,2,65,6,102.98008670000127,,102.96838770000613,102.98008670000127,103.98027050000383,103.98027050000383,103.98027050000383,104.23305920002167,l,0.23699780000606552,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,9,3,66,2,104.24671000000671,,104.23412980002468,104.24671000000671,105.2468751000124,105.2468751000124,105.2468751000124,105.54912000001059,l,0.2945570999872871,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
67,75,119,9,4,67,5,105.56298370001605,,105.55014510001638,105.56298370001605,106.562997800007,106.562997800007,106.562997800007,107.1312824000197,l,0.5663907999987714,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,9,5,68,1,107.14585460000671,,107.13203000000794,107.14585460000671,108.14567759999773,108.14567759999773,108.14567759999773,108.26488210001844,t,0.11252100000274368,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
49,60,89,9,6,69,4,108.27918920002412,,108.26581020001322,108.27918920002412,109.27896660001716,109.27896660001716,109.27896660001716,109.54761480001616,l,0.26374500000383705,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,10,0,70,1,109.56251160000102,,109.54840540001169,109.56251160000102,110.56244570002309,110.56244570002309,110.56244570002309,110.86412010001368,l,0.28401620002114214,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,10,1,71,2,110.87836590001825,,110.86495790001936,110.87836590001825,111.87870800000383,111.87870800000383,111.87870800000383,112.313229100022,l,0.42192720001912676,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,10,2,72,0,112.32924670001375,,112.31393329999992,112.32924670001375,113.32817280001473,113.32817280001473,113.32817280001473,113.59708210002282,l,0.264105499983998,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,10,3,73,3,113.61120820001815,,113.5980419999978,113.61120820001815,114.61187290001544,114.61187290001544,114.61187290001544,114.86540150002111,t,0.24926129999221303,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
